,ID,ra,dec,pmRA,pmDEC,Tmag,objType,typeSrc,version,HIP,TYC,UCAC,TWOMASS,SDSS,ALLWISE,GAIA,APASS,KIC,POSflag,e_pmRA,e_pmDEC,PMflag,plx,e_plx,PARflag,gallong,gallat,eclong,eclat,Bmag,e_Bmag,Vmag,e_Vmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,TWOMflag,prox,w1mag,e_w1mag,w2mag,e_w2mag,w3mag,e_w3mag,w4mag,e_w4mag,GAIAmag,e_GAIAmag,e_Tmag,TESSflag,SPFlag,Teff,e_Teff,logg,e_logg,MH,e_MH,rad,e_rad,mass,e_mass,rho,e_rho,lumclass,lum,e_lum,d,e_d,ebv,e_ebv,numcont,contratio,disposition,duplicate_id,priority,dstArcSec,EPIC,rafloat,decfloat,InvestigationIDs
103,4579953,348.381447,-11.583058,,,15.289,STAR,2mass,20180610,,,,23133154-1134590,,J231331.52-113459.7,,,,2mass,,,,,,,62.238941,-62.258472,344.790263,-6.069845,19.216,0.162,,,,,,,,,,,,,13.749,0.026,13.138,0.031,12.941,0.034,AAA-222-111-000-0-0,65.2,12.745,0.024,12.569,0.027,11.812,,8.773,,,,0.146,bpjk,,3471.0,165.0,,,,,,,,,,,,,,,,,,,,,,,0.024697290851547316,245932685.0,348.38144,-11.583058,GO19067_LC|GO19068_LC
104,4579789,348.312049,-11.567078,-12.2514,-14.5933,12.463,STAR,2mass,20180610,,,393-135084,23131489-1134014,,J231314.88-113401.7,2413442110461643392,7401725,,tmgaia,0.942113,0.942066,hsoy,,,,62.177121,-62.19485,344.733656,-6.028507,13.655,0.049,13.145,0.149,,,,,,,,,,,11.938,0.023,11.623,0.023,11.589,0.025,AAA-222-111-000-0-0,42.8,11.547,0.022,11.581,0.023,12.203,0.417,8.877,,12.8507,0.00051663,0.018,gaiaj,splin,5806.0,189.0,4.34009,,,,1.14398,1.14398,1.04351413,0.124128,0.697019,0.697019,DWARF,1.33979559,1.33979559,512.07,,0.0322499,,16.0,,,,,0.0893484379658166,245933022.0,348.31203999999997,-11.567101,GO19049_LC|GO19065_LC|GO19067_LC
105,4579788,348.277694,-11.566968,,,13.392,STAR,2mass,20180610,,,393-135076,23130664-1134010,,J231306.63-113401.8,2413442522778611968,7401634,,tmgaia,,,,,,,62.133352,-62.168099,344.702559,-6.015224,,,12.995,1.03,,,,,,,,,,,12.143,0.029,11.474,0.027,11.279,0.028,AAA-222-111-c00-0-0,6.9,11.192,0.04,11.157,0.04,11.055,0.149,8.596,,14.2899,0.00104943,0.019,gaiaj,,5459.0,186.0,,,,,,,,,,,,,,,,0.0314653,,,,,,,0.07919939440588347,245933025.0,348.2777,-11.566989,GO19011_LC|GO19067_LC
106,4579787,348.27578,-11.566559,-25.8715,-52.6024,10.674,STAR,2mass,20180610,,5824-00282-1,393-135074,23130618-1133595,,J231306.16-113400.1,2413442522778591744,7401639,,tmgaia,1.66185,0.922538,tgas,4.44912,0.539673,tgas,62.1316,-62.166363,344.700986,-6.014113,11.718,0.316,11.608,0.028,,,,,,,,,,,10.162,0.026,9.826,0.029,9.751,0.028,AAA-222-111-000-0-0,6.9,9.725,0.023,9.758,0.021,9.719,0.048,8.086,,11.0515,0.000345996,0.019,gaiaj,tplx,5390.0,185.0,4.21129,0.50573,,,1.25636,0.307515,0.935602,0.118789,0.47179,0.346435,DWARF,1.20026731,0.5875707,224.76358,,0.0314493,,17.0,0.0759525,,,0.000784207368,0.20529891162565586,245933030.0,348.27572999999995,-11.566588000000001,GO19049_LC|GO19065_LC|GO19067_LC
107,4582459,348.4528,-11.5593,-50.3,-57.59,15.707,STAR,2mass,20180610,,,,23134867-1133333,,J231348.62-113333.9,,,,2mass,2.0,2.0,sblink,,,,62.371185,-62.299297,344.864301,-6.07538,19.28,0.162,18.02,0.2,,,,,,,,,,,14.161,0.028,13.577,0.033,13.325,0.036,AAA-222-111-000-0-0,80.2,13.21,0.025,13.094,0.03,12.143,0.445,8.32,,,,0.061,cdwrf,cdwrf,3398.0,105.0,4.91598,0.493094,,,0.334,0.07,0.335,0.087,8.99095,5.65299,DWARF,0.01339927,0.00561646046,385.8894,,,,19.0,3.013925e-06,,,0.000124407918,0.1432800000009524,245933176.0,348.4528,-11.55926,GO19063_LC|GO19067_LC
108,4602719,348.825369,-11.554639,8.77345,11.422,13.116,STAR,2mass,20180610,,,393-135139,23151808-1133167,,J231518.09-113316.6,2413396755606421248,7402886,,tmgaia,2.22029,2.22029,hsoy,,,,62.863692,-62.584499,345.203845,-6.214265,14.073,0.061,13.826,0.263,,,,,,,,,,,12.608,0.022,12.292,0.027,12.3,0.028,AAA-222-111-000-0-0,56.5,12.237,0.023,12.305,0.024,11.863,,8.389,,13.49,0.000703057,0.018,gaiaj,splin,6046.0,193.0,4.29639,,,,1.24876,1.24876,1.12438858,0.148378,0.577401,0.577401,DWARF,1.87726867,1.87726867,794.365,,0.0328312,,14.0,,,,,0.08883946244781807,245933261.0,348.82538,-11.554661,GO19049_LC|GO19067_LC
109,4602546,348.758676,-11.547327,26.0884,9.16132,15.206,STAR,2mass,20180610,,,393-135132,23150208-1132503,,J231502.10-113250.3,2413399470025834112,7402745,,tmgaia,2.24642,2.24615,hsoy,,,,62.78881,-62.528535,345.146279,-6.181894,17.619,-0.131,16.869,1.133,,,,,,,,,,,14.016,0.03,13.382,0.032,13.266,0.04,AAA-222-111-000-0-0,29.5,13.212,0.024,13.256,0.031,11.865,,8.429,,16.0645,0.00290603,0.019,gaiaj,,3907.0,169.0,,,,,,,,,,,DWARF,,,,,,,,,,,,0.13060596828227822,245933418.0,348.75867,-11.547291,GO19067_LC|GO19068_LC
110,4602545,348.7328,-11.5447,-7.89,-61.92,16.284,STAR,2mass,20180610,,,,23145586-1132407,,J231455.85-113241.3,,,,2mass,2.0,2.0,sblink,,,,62.759466,-62.506941,345.123861,-6.169529,,,19.76,0.2,,,,,,,,,,,14.381,0.03,13.727,0.036,13.439,0.042,AAA-222-111-000-0-0,82.6,13.225,0.025,13.013,0.029,12.025,0.352,8.237,,,,0.062,cdwrf,cdwrf,2999.0,98.0,5.1174,0.525221,,,0.165,0.036,0.13,0.038,28.9395,18.9422,DWARF,0.00198412244,0.000865798851,,,,,17.0,1.0685518e-06,,,0.000211953185,0.25438924555874526,245933462.0,348.73276,-11.544641,GO19063_LC
111,4582457,348.537033,-11.541905,-16.2565,-1.71591,11.575,STAR,2mass,20180610,,,393-135104,23140888-1132308,,J231408.87-113230.8,2413440083236502912,7402239,,tmgaia,0.942811,0.942721,hsoy,,,,62.509616,-62.353886,344.947511,-6.091727,13.058,0.026,12.382,0.092,,,,,,,,,,,10.939,0.023,10.532,0.025,10.436,0.021,AAA-222-111-000-0-0,46.7,10.393,0.022,10.432,0.019,10.305,0.079,8.451,,12.0473,0.000353737,0.018,gaiaj,splin,5275.0,183.0,4.44554,2.00384,,,0.943261,0.943261,0.9044225,0.112083,1.07765,3.23294,DWARF,0.6206517,0.6206517,219.781,,0.0346368,,17.0,0.00364206429,,,0.0006283493,0.047278606895936194,245933515.0,348.53702000000004,-11.541908,GO19049_LC|GO19065_LC|GO19067_LC|GO19068_LC
112,4602544,348.755628,-11.539699,,,17.5,STAR,2mass,20180610,,,,23150135-1132229,,J231501.34-113223.0,,,,2mass,,,,,,,62.797848,-62.521483,345.146527,-6.173706,20.126,0.114,,,,,,,,,,,,,16.145,0.107,15.371,0.111,14.708,0.109,ABB-222-111-000-0-0,29.5,14.402,0.029,14.145,0.048,12.153,,8.429,,,,0.176,bpjk,,3460.0,165.0,,,,,,,,,,,,,,,,,,,,,,,0.09876508649850335,245933560.0,348.7556,-11.539699,GO19059_LC
